architecture,score
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0004896085010841
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0006102214101701
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0004067840054631
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0006534706335514
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0004277035186532
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0005092415958642
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0763450562953949
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""bi-lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0006729317246936
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0004398073942866
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0006139196921139
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0003580714983399
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0004222546704113
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""bi-lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""gru""}]}",0.0007401693728752
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""bi-lstm""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""gru""}]}",0.00042596235289238393
